INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;
Mes;Fecha;Producto;Unidad
Diciembre '24;19/12/2024;Cafe Mezcla;Kilo
Noviembre '24;20/11/2024;Cafe Mezcla;Kilo
Noviembre '24;1/11/2024;Cafe Mezcla;Kilo
Noviembre '24;6/11/2024;Cafe Mezcla;Kilo
Octubre '24;23/10/2024;Cafe Mezcla;Kilo
Octubre '24;21/10/2024;Cafe Mezcla;Kilo
Octubre '24;14/10/2024;Cafe Mezcla;Kilo
Octubre '24;3/10/2024;Cafe Mezcla;Kilo
Octubre '24;12/10/2024;Cafe Mezcla;Kilo
Septiembre '24;27/9/2024;Cafe Mezcla;Kilo
Septiembre '24;23/9/2024;Cafe Mezcla;Kilo
Septiembre '24;19/9/2024;Cafe Mezcla;Kilo
Septiembre '24;2/9/2024;Cafe Mezcla;Kilo
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo
Septiembre '24;19/9/2024;Cafe Mezcla;Kilo
Septiembre '24;2/9/2024;Cafe Mezcla;Kilo
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo
Septiembre '24;13/9/2024;Cafe Mezcla;Kilo
Septiembre '24;1/9/2024;Cafe Mezcla;Kilo
Agosto '24;27/8/2024;Cafe Mezcla;Kilo
Agosto '24;24/8/2024;Cafe Mezcla;Kilo
Agosto '24;23/8/2024;Cafe Mezcla;Kilo
Agosto '24;17/8/2024;Cafe Mezcla;Kilo
Septiembre '24;1/9/2024;Cafe Santos;Kilo
Septiembre '24;1/9/2024;Mate Natura;Sobres
Septiembre '24;2/9/2024;Cafe Santos;Kilo
Septiembre '24;2/9/2024;Mate Natura;Sobres
Septiembre '24;4/9/2024;Cafe Mezcla;Kilo
Septiembre '24;4/9/2024;Cafe Santos;Kilo
Septiembre '24;4/9/2024;Mate Natura;Sobres
Septiembre '24;7/9/2024;Cafe Mezcla;Kilo
Septiembre '24;7/9/2024;Cafe Mezcla;Kilo
Agosto '24;14/8/2024;Cafe Mezcla;Kilo
Agosto '24;6/8/2024;Cafe Mezcla;Kilo
Agosto '24;27/8/2024;Cafe Mezcla;Kilo
Agosto '24;17/8/2024;Cafe Mezcla;Kilo
Agosto '24;16/8/2024;Cafe Mezcla;Kilo
Agosto '24;14/8/2024;Cafe Mezcla;Kilo
Agosto '24;13/8/2024;Cafe Mezcla;Kilo
Agosto '24;23/8/2024;Cafe Mezcla;Kilo
Agosto '24;21/8/2024;Cafe Mezcla;Kilo
Septiembre '24;7/9/2024;Cafe Santos;Kilo
Septiembre '24;7/9/2024;Cafe Santos;Kilo
Agosto '24;14/8/2024;Cafe Santos;Kilo
Agosto '24;6/8/2024;Cafe Santos;Kilo
Septiembre '24;7/9/2024;Mate Natura;Sobres
Agosto '24;10/8/2024;Cafe Mezcla;Kilo
Agosto '24;12/8/2024;Cafe Mezcla;Kilo
Septiembre '24;12/9/2024;Cafe Mezcla;Kilo
Septiembre '24;12/9/2024;Cafe Mezcla;Kilo
